Issue Type,Issue key,Issue id,Summary,Status,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Reporter,Resolved,Resolution,Assignee,Created,Custom field (BUH real date),Custom field (BUH Total amount with VAT),Custom field (Accountant),Custom field (BUH Payment Currency),Custom field (BUH ID Income/Consumption),Custom field (BUH Act Date),Custom field (BUH Company),Custom field (BUH CFO / Budget Item)
Согласование договора,ADM-65206,1200352,DBSA. Рамочный договор c LUSINOVA,Closed,_Алиева,_Коломейцев,ОАЭ,нетподписанта,обработано,,,anastasiya.pisareva,07.04.2026 14:55,Исправлено/Выполнено,,01.12.2025 13:41,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-65186,1199990,MENA. Изучение требований к хранению ПДН,ADM Доработка,ОАЭ,,,,,,,zhanna.pavlova,,,,01.12.2025 08:48,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-65145,1199260,Составить базу консультантов LEG для региона MENA,ADM Согл Ю+Б,NoSLA,ОАЭ,,,,,,tatyana.bykovskaya,,,,28.11.2025 12:39,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-65015,1197786,VISA- EDM and Power BI implementation for Dukhan bank,Closed,_Алиева,ОАЭ,обработано,,,,,anastasiya.pisareva,12.05.2026 10:11,Исправлено/Выполнено,,25.11.2025 17:40,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-64823,1195670,EVAM: Договор на работы по внедрению EVAM в Хамкорбанк (субподряд),ADM КА п экз GB,_Алиева,ОАЭ,обработано,,,,,ekaterina.zinoveva,,,,20.11.2025 12:02,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-64613,1193108,KRNK Заказ №7,ADM Согл с КА,ОАЭ,обработано,,,,,,olga.artamonova,,,,13.11.2025 13:34,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-64561,1192436,PIN: Дополнительное соглашение к Договору на работы по нормативной отчетности,Closed,_Алиева,ADM_Центр-Азия,ОАЭ,нетподписанта,обработано,,,Evgeniya.Chzhan,29.01.2026 14:42,Исправлено/Выполнено,,12.11.2025 11:11,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-63887,1181339,Синхронизация формулировок по ОАЭ,ADM Согл с КА,ОАЭ,,,,,,,konstantin.starkov,,,,21.10.2025 15:34,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-63597,1177712,DBSA: RHQ in Saudi Arabia,ADM Согл ЮР,NoSLA,ОАЭ,,,,,,Dinara.Alieva,,,,13.10.2025 11:47,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-63509,1176498,DB SA. Шаблон оффера,ADM Доработка,ОАЭ,,,,,,,Dinara.Alieva,,,,09.10.2025 09:53,,,a.kevrolikina,,,,DBSA - Databorn Company Limited LLC,
Прочее,ADM-62970,1169229,Политика информационной безопасности для DBSA,Closed,_Коломейцев,NoSLA,ОАЭ,,,,,Vladimir.Chuvichkin,13.01.2026 13:19,Исправлено/Выполнено,,25.09.2025 16:21,,,a.kevrolikina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-62648,1165130,Согласование Framework c Mainstream Ltd Company,Closed,_Тверитинов,ОАЭ,обработано,,,,,anastasiya.pisareva,03.06.2026 14:10,Исправлено/Выполнено,,16.09.2025 17:17,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-61217,1142327,DBSA: Доверенность на Динару с iqama,Closed,NoSLA,ОАЭ,,,,,,aleksandra.baldina,20.05.2026 21:47,Исправлено/Выполнено,,27.07.2025 20:54,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-60971,1138502,UZPSB: Разовый договор формирование дата-стратегии,Closed,_Алиева,ADM_Центр-Азия,обработано,,,,,mariya.kozyreva,06.04.2026 17:22,Исправлено/Выполнено,,16.07.2025 16:05,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-59622,1114729,DBFZ. Провалидировать риски из консультации + оценка вероятности их наступления + судебная практика,ADM Согл с КА,NoSLA,ОАЭ,,,,,,zhanna.pavlova,,,,27.05.2025 18:44,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-58997,1105252,NDA с CNS (UAE)_Срочно,ADM КА п экз GB,_Тверитинов,обработано,,,,,,maksim.simetskiy,,,,02.05.2025 10:32,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-58519,1096877,DBSA. Шаблон NDA,Closed,ОАЭ,,,,,,,zhanna.pavlova,12.02.2026 17:45,Исправлено/Выполнено,,14.04.2025 13:05,,,ekaterina.fomina,,,,DBSA - Databorn Company Limited LLC,
Согласование договора,ADM-56498,1065259,Azerpost NDA DBFZ,ADM КА п экз GB,_Алиева,ADM_Центр-Азия,нетподписанта,обработано,,,,nina.li,,,,05.02.2025 11:30,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-56396,1062547,DBFZ: Возврат WHT в РУз,Closed,ADM_Центр-Азия,NoSLA,ОАЭ,,,,,yuliya.pinchuk,02.06.2026 10:15,Исправлено/Выполнено,,31.01.2025 12:06,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-51534,994958,DBFZ Активы между филиалом и штаб-квартирой,ADM Согл Ю+Б,NoSLA,,,,,,,liana.akhmetshina,,,,27.08.2024 18:03,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-51530,994925,DBFZ. Нужен ли нам freezone и mainland,ADM Согл с КА,NoSLA,ОАЭ,,,,,,Dinara.Alieva,,,,27.08.2024 17:01,,,a.kevrolikina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-48572,950486,BAKAI: NDA DBFZ - ОАО Бакай Банк,ADM Отложено,_Тверитинов,ADM_Центр-Азия,обработано,,,,,nina.li,,,,08.05.2024 11:21,,,noreply,,,,DBFZ - Databorn FZ LLC,
Прочее,ADM-48100,943994,Регистрация ПО в Databorn FZ,ADM Согл Ю+Б,Alphyn,NoSLA,,,,,,Anzhelika.Frolova,,,,18.04.2024 14:18,,,ekaterina.fomina,,,,DBFZ - Databorn FZ LLC,
Согласование договора,ADM-26119,600981,Тест + Логирование нетиповых задач,ADM Согл с КА,,,,,,,,Gader.Noqali,,,,08.11.2021 16:53,,,noreply,,,,DBFZ - Databorn FZ LLC,
